State,18-24HSCompleters,LTHS,HS,TOTBACH,BACH,GRAD
District of Columbia,79.4,22.2,77.8,39.1,18.1,21
Massachusetts,82.2,15.2,84.8,33.2,19.5,13.7
Colorado,75.1,13.1,86.9,32.7,21.6,11.1
Connecticut,78.2,16,84,31.4,18.1,13.3
Maryland,79.6,16.2,83.8,31.4,18,13.4
New Jersey,76.3,17.9,82.1,29.8,18.8,11
Virginia,79.4,18.5,81.5,29.5,17.9,11.6
Vermont,83,13.6,86.4,29.4,18.3,11.1
New Hampshire,77.8,12.6,87.4,28.7,18.7,10
Washington,75.3,12.9,87.1,27.7,18.4,9.3
Minnesota,79.3,12.1,87.9,27.4,19.1,8.3
New York,76.1,20.9,79.1,27.4,15.6,11.8
California,70.7,23.2,76.8,26.6,17.1,9.5
Hawaii,85.8,15.4,84.6,26.2,17.8,8.4
Illinois,76,18.6,81.4,26.1,16.6,9.5
Utah,80.3,12.3,87.7,26.1,17.8,8.3
Kansas,78.3,14,86,25.8,17.1,8.7
Rhode Island,81.3,22,78,25.6,15.9,9.7
Oregon,74.2,14.9,85.1,25.1,16.4,8.7
Delaware,77.6,17.4,82.6,25,15.6,9.4
Alaska,76.9,11.7,88.3,24.7,16.1,8.6
Montana,78.6,12.8,87.2,24.4,17.2,7.2
Georgia,70,21.4,78.6,24.3,16,8.3
Nebraska,80,13.4,86.6,23.7,16.4,7.3
Arizona,69.2,19,81,23.5,15.1,8.4
New Mexico,70.5,21.1,78.9,23.5,13.7,9.8
Texas,68.6,24.3,75.7,23.2,15.6,7.6
Maine,78.9,14.6,85.4,22.9,15,7.9
North Carolina,74.2,21.9,78.1,22.5,15.3,7.2
Pennsylvania,79.8,18.1,81.9,22.4,14,8.4
Wisconsin,78.9,14.9,85.1,22.4,15.2,7.2
Florida,71.7,20.1,79.9,22.3,14.2,8.1
North Dakota,84.4,16.1,83.9,22,16.5,5.5
Wyoming,79,12.1,87.9,21.9,14.9,7
Michigan,76.5,16.6,83.4,21.8,13.7,8.1
Idaho,77.3,15.3,84.7,21.7,14.9,6.8
Missouri,76.5,18.7,81.3,21.6,14,7.6
South Dakota,78.2,15.4,84.6,21.5,15.5,6
Iowa,81.4,13.9,86.1,21.2,14.7,6.5
Ohio,76.8,17,83,21.1,13.7,7.4
South Carolina,74.3,23.7,76.3,20.4,13.5,6.9
Oklahoma,74.8,19.4,80.6,20.3,13.5,6.8
Tennessee,75.1,24.1,75.9,19.6,12.8,6.8
Indiana,76.5,17.9,82.1,19.4,12.2,7.2
Alabama,72.2,24.7,75.3,19,12.1,6.9
Louisiana,72.3,25.2,74.8,18.7,12.2,6.5
Nevada,66.7,19.3,80.7,18.2,12.1,6.1
Kentucky,74.9,25.9,74.1,17.1,10.2,6.9
Mississippi,71.3,27.1,72.9,16.9,11.1,5.8
Arkansas,75.4,24.7,75.3,16.7,11,5.7
West Virginia,78.2,24.8,75.2,14.8,8.9,5.9
